depId                           class       name                                                                                                  flag      
135                             6           ELF32/libc.so.6                                                                                       GLIBC_2.3 
136                             6           ELF32/libc.so.6                                                                                       GLIBC_2.2 
137                             6           ELF32/libc.so.6                                                                                       GLIBC_2.1 
138                             6           ELF32/libc.so.6                                                                                       GLIBC_2.0 
139                             4           udev:runtime                                                                                          -*none*-  
140                             6           ELF32/libc.so.6                                                                                       GLIBC_2.3.
141                             6           ELF32/libc.so.6                                                                                       GLIBC_2.1.
142                             6           ELF32/libgcc_s.so.1                                                                                   -*none*-  
143                             6           ELF32/libgcc_s.so.1                                                                                   SysV      
144                             6           ELF32/libgcc_s.so.1                                                                                   x86       
145                             6           ELF32/libgcc_s.so.1                                                                                   GCC_3.0   
146                             6           ELF32/libm.so.6                                                                                       -*none*-  
147                             6           ELF32/libm.so.6                                                                                       SysV      
148                             6           ELF32/libm.so.6                                                                                       x86       
149                             6           ELF32/libpthread.so.0                                                                                 -*none*-  
150                             6           ELF32/libpthread.so.0                                                                                 x86       
151                             6           ELF32/libpthread.so.0                                                                                 GLIBC_2.3.
152                             6           ELF32/libpthread.so.0                                                                                 SysV      
153                             6           ELF32/libpthread.so.0                                                                                 GLIBC_2.2 
154                             6           ELF32/libpthread.so.0                                                                                 GLIBC_2.0 
155                             6           ELF32/libstdc++.so.6                                                                                  -*none*-  
156                             6           ELF32/libstdc++.so.6                                                                                  CXXABI_1.3
157                             6           ELF32/libstdc++.so.6                                                                                  SysV      
158                             6           ELF32/libstdc++.so.6                                                                                  GLIBCXX_3.
159                             6           ELF32/libstdc++.so.6                                                                                  x86       
160                             4           db:lib                                                                                                -*none*-  
161                             6           ELF32/libdb-4.3.so                                                                                    -*none*-  
162                             6           ELF32/libdb-4.3.so                                                                                    SysV      
163                             6           ELF32/libdb-4.3.so                                                                                    x86       
164                             6           ELF32/libdb_cxx-4.3.so                                                                                -*none*-  
165                             6           ELF32/libdb_cxx-4.3.so                                                                                SysV      
166                             6           ELF32/libdb_cxx-4.3.so                                                                                x86       
167                             6           ELF32/libdb_tcl-4.3.so                                                                                -*none*-  
168                             6           ELF32/libdb_tcl-4.3.so                                                                                SysV      
169                             6           ELF32/libdb_tcl-4.3.so                                                                                x86       
170                             4           mktemp:runtime                                                                                        -*none*-  
171                             4           gzip:runtime                                                                                          -*none*-  
172                             6           ELF32/libdl.so.2                                                                                      -*none*-  
173                             6           ELF32/libdl.so.2                                                                                      SysV      
174                             6           ELF32/libdl.so.2                                                                                      x86       
175                             6           ELF32/libdl.so.2                                                                                      GLIBC_2.1 
176                             6           ELF32/libdl.so.2                                                                                      GLIBC_2.0 
177                             6           ELF32/libm.so.6                                                                                       GLIBC_2.0 
178                             3           /bin/awk                                                                                              -*none*-  
179                             3           /bin/gawk                                                                                             -*none*-  
180                             3           /usr/bin/awk                                                                                          -*none*-  
181                             3           /usr/bin/gawk                                                                                         -*none*-  
182                             4           gawk:runtime                                                                                          -*none*-  
183                             6           ELF32/libc.so.6                                                                                       GLIBC_2.3.
184                             6           ELF32/libc.so.6                                                                                       GLIBC_2.2.
185                             6           ELF32/libc.so.6                                                                                       GLIBC_2.1.
186                             6           ELF32/libcrypt.so.1                                                                                   -*none*-  
187                             6           ELF32/libcrypt.so.1                                                                                   SysV      
188                             6           ELF32/libcrypt.so.1                                                                                   x86       
189                             6           ELF32/libcrypt.so.1                                                                                   GLIBC_2.0 
190                             6           ELF32/libnsl.so.1                                                                                     -*none*-  
191                             6           ELF32/libnsl.so.1                                                                                     SysV      
192                             6           ELF32/libnsl.so.1                                                                                     x86       
193                             6           ELF32/libpam.so.0                                                                                     -*none*-  
194                             6           ELF32/libpam.so.0                                                                                     SysV      
195                             6           ELF32/libpam.so.0                                                                                     x86       
196                             4           pam:data                                                                                              -*none*-  
197                             3           /sbin/ldconfig                                                                                        -*none*-  
198                             4           glibc:lib                                                                                             -*none*-  
199                             6           ELF32/Mcrt1.o                                                                                         -*none*-  
200                             6           ELF32/Mcrt1.o                                                                                         SysV      
201                             6           ELF32/Mcrt1.o                                                                                         x86       
202                             6           ELF32/Scrt1.o                                                                                         -*none*-  
203                             6           ELF32/Scrt1.o                                                                                         SysV      
204                             6           ELF32/Scrt1.o                                                                                         x86       
205                             6           ELF32/crt1.o                                                                                          -*none*-  
206                             6           ELF32/crt1.o                                                                                          SysV      
207                             6           ELF32/crt1.o                                                                                          x86       
208                             6           ELF32/crti.o                                                                                          -*none*-  
209                             6           ELF32/crti.o                                                                                          SysV      
210                             6           ELF32/crti.o                                                                                          x86       
211                             6           ELF32/crtn.o                                                                                          -*none*-  
212                             6           ELF32/crtn.o                                                                                          SysV      
213                             6           ELF32/crtn.o                                                                                          x86       
214                             6           ELF32/gcrt1.o                                                                                         -*none*-  
215                             6           ELF32/gcrt1.o                                                                                         SysV      
216                             6           ELF32/gcrt1.o                                                                                         x86       
217                             6           ELF32/ld-2.3.6.so                                                                                     -*none*-  
218                             6           ELF32/ld-2.3.6.so                                                                                     x86       
219                             6           ELF32/ld-2.3.6.so                                                                                     SysV      
220                             6           ELF32/ld-2.3.6.so                                                                                     GLIBC_PRIV
221                             6           ELF32/ld-2.3.6.so                                                                                     GLIBC_2.3 
222                             6           ELF32/ld-2.3.6.so                                                                                     GLIBC_2.1 
223                             6           ELF32/ld-2.3.6.so                                                                                     GLIBC_2.0 
224                             6           ELF32/ld-linux.so.2                                                                                   -*none*-  
225                             6           ELF32/ld-linux.so.2                                                                                   x86       
226                             6           ELF32/ld-linux.so.2                                                                                   SysV      
227                             6           ELF32/ld-linux.so.2                                                                                   GLIBC_PRIV
228                             6           ELF32/ld-linux.so.2                                                                                   GLIBC_2.3 
229                             6           ELF32/ld-linux.so.2                                                                                   GLIBC_2.1 
230                             6           ELF32/ld-linux.so.2                                                                                   GLIBC_2.0 
231                             6           ELF32/libBrokenLocale-2.3.6.so                                                                        -*none*-  
232                             6           ELF32/libBrokenLocale-2.3.6.so                                                                        SysV      
233                             6           ELF32/libBrokenLocale-2.3.6.so                                                                        x86       
234                             6           ELF32/libBrokenLocale-2.3.6.so                                                                        GLIBC_2.0 
235                             6           ELF32/libBrokenLocale.so.1                                                                            -*none*-  
236                             6           ELF32/libBrokenLocale.so.1                                                                            SysV      
237                             6           ELF32/libBrokenLocale.so.1                                                                            x86       
238                             6           ELF32/libBrokenLocale.so.1                                                                            GLIBC_2.0 
239                             6           ELF32/libSegFault.so                                                                                  -*none*-  
240                             6           ELF32/libSegFault.so                                                                                  SysV      
241                             6           ELF32/libSegFault.so                                                                                  x86       
242                             6           ELF32/libanl-2.3.6.so                                                                                 -*none*-  
243                             6           ELF32/libanl-2.3.6.so                                                                                 SysV      
244                             6           ELF32/libanl-2.3.6.so                                                                                 x86       
245                             6           ELF32/libanl-2.3.6.so                                                                                 GLIBC_2.2.
246                             6           ELF32/libanl.so.1                                                                                     -*none*-  
247                             6           ELF32/libanl.so.1                                                                                     SysV      
248                             6           ELF32/libanl.so.1                                                                                     x86       
249                             6           ELF32/libanl.so.1                                                                                     GLIBC_2.2.
250                             6           ELF32/libc-2.3.6.so                                                                                   -*none*-  
251                             6           ELF32/libc-2.3.6.so                                                                                   GLIBC_2.3.
252                             6           ELF32/libc-2.3.6.so                                                                                   x86       
253                             6           ELF32/libc-2.3.6.so                                                                                   GCC_3.0   
254                             6           ELF32/libc-2.3.6.so                                                                                   GLIBC_2.3.
255                             6           ELF32/libc-2.3.6.so                                                                                   GLIBC_2.2.
256                             6           ELF32/libc-2.3.6.so                                                                                   GLIBC_2.3.
257                             6           ELF32/libc-2.3.6.so                                                                                   GLIBC_2.2.
258                             6           ELF32/libc-2.3.6.so                                                                                   GLIBC_2.2.
259                             6           ELF32/libc-2.3.6.so                                                                                   GLIBC_2.2.
260                             6           ELF32/libc-2.3.6.so                                                                                   GLIBC_2.2.
261                             6           ELF32/libc-2.3.6.so                                                                                   SysV      
262                             6           ELF32/libc-2.3.6.so                                                                                   GLIBC_2.1.
263                             6           ELF32/libc-2.3.6.so                                                                                   GLIBC_2.1.
264                             6           ELF32/libc-2.3.6.so                                                                                   GLIBC_PRIV
