troveName                       versionId   version                                                                                             
gzip                            135         /conary.rpath.com@rpl:devel//1/1.3.5-4-0.1                                                          
hesiod                          244         /conary.rpath.com@rpl:devel//1/3.0.2-6-0.1                                                          
hotplug                         245         /conary.rpath.com@rpl:devel//1/2004_03_29-19.3-1                                                    
howl                            55          /conary.rpath.com@rpl:devel//1/1.0.0-4-0.1                                                          
httpd                           253         /conary.rpath.com@rpl:devel//1/2.0.59-0.6-1                                                         
hwdata                          53          /conary.rpath.com@rpl:devel//1/0.158.1-2.4-1                                                        
info-apache                     1           /conary.rpath.com@rpl:devel//1/1-1-0.1                                                              
info-daemon                     1           /conary.rpath.com@rpl:devel//1/1-1-0.1                                                              
info-disk                       1           /conary.rpath.com@rpl:devel//1/1-1-0.1                                                              
info-emerge                     3           /conary.rpath.com@rpl:devel//1/2-2-0.1                                                              
info-floppy                     1           /conary.rpath.com@rpl:devel//1/1-1-0.1                                                              
info-kmem                       1           /conary.rpath.com@rpl:devel//1/1-1-0.1                                                              
info-lock                       1           /conary.rpath.com@rpl:devel//1/1-1-0.1                                                              
info-lp                         1           /conary.rpath.com@rpl:devel//1/1-1-0.1                                                              
info-mail                       1           /conary.rpath.com@rpl:devel//1/1-1-0.1                                                              
info-mailnull                   1           /conary.rpath.com@rpl:devel//1/1-1-0.1                                                              
info-mysql                      1           /conary.rpath.com@rpl:devel//1/1-1-0.1                                                              
info-ntp                        1           /conary.rpath.com@rpl:devel//1/1-1-0.1                                                              
info-raa-web                    4           /raa.rpath.org@rpath:raa-devel//raa-2/1-1-1                                                         
info-smmsp                      1           /conary.rpath.com@rpl:devel//1/1-1-0.1                                                              
info-sshd                       6           /conary.rpath.com@rpl:devel//1/1-3-0.1                                                              
info-tty                        1           /conary.rpath.com@rpl:devel//1/1-1-0.1                                                              
info-users                      1           /conary.rpath.com@rpl:devel//1/1-1-0.1                                                              
info-utmp                       1           /conary.rpath.com@rpl:devel//1/1-1-0.1                                                              
info-uucp                       1           /conary.rpath.com@rpl:devel//1/1-1-0.1                                                              
initscripts                     478         /conary.rpath.com@rpl:devel//1/8.12-8.9-1                                                           
iproute                         252         /conary.rpath.com@rpl:devel//1/2.6.11.050330-4-0.1                                                  
iptables                        258         /conary.rpath.com@rpl:devel//1/1.3.1-4-0.1                                                          
iputils                         261         /conary.rpath.com@rpl:devel//1/20020927-5-0.1                                                       
kbd                             80          /conary.rpath.com@rpl:devel//1/1.12-10-0.1                                                          
kernel                          158         /conary.rpath.com@rpl:devel//1/2.6.17.14-0.4-1                                                      
kid                             416         /conary.rpath.com@rpl:devel//1/0.9.1-2-0.1                                                          
krb5                            86          /conary.rpath.com@rpl:devel//1/1.4.1-7.6-1                                                          
kudzu                           264         /conary.rpath.com@rpl:devel//1/1.1.116.2-3.1-1                                                      
libIDL                          265         /conary.rpath.com@rpl:devel//1/0.8.6-2-0.1                                                          
libart_lgpl                     267         /conary.rpath.com@rpl:devel//1/2.3.17-1-0.1                                                         
libbonobo                       73          /conary.rpath.com@rpl:devel//1/2.10.1-1-0.1                                                         
libbonoboui                     73          /conary.rpath.com@rpl:devel//1/2.10.1-1-0.1                                                         
libcap                          269         /conary.rpath.com@rpl:devel//1/1.10-4-0.1                                                           
libelf                          273         /conary.rpath.com@rpl:devel//1/0.108-4-0.1                                                          
libelf-lgpl                     271         /conary.rpath.com@rpl:devel//1/0.8.6-4-0.1                                                          
libgcc                          145         /conary.rpath.com@rpl:devel//1/3.4.4-9.4-1                                                          
libglade                        76          /conary.rpath.com@rpl:devel//1/2.5.1-6-0.1                                                          
libgnome                        69          /conary.rpath.com@rpl:devel//1/2.12.0.1-1-0.1                                                       
libgnomecanvas                  17          /conary.rpath.com@rpl:devel//1/2.12.0-1-0.1                                                         
libgnomeui                      84          /conary.rpath.com@rpl:devel//1/2.12.0-3-0.1                                                         
libjpeg                         275         /conary.rpath.com@rpl:devel//1/6b-7-0.1                                                             
libpng                          277         /conary.rpath.com@rpl:devel//1/1.2.13-0.1-1                                                         
libstdc++                       145         /conary.rpath.com@rpl:devel//1/3.4.4-9.4-1                                                          
libtermcap                      175         /conary.rpath.com@rpl:devel//1/2.0.8-9-0.1                                                          
libtiff                         278         /conary.rpath.com@rpl:devel//1/3.8.2-3-0.1                                                          
libtool                         279         /conary.rpath.com@rpl:devel//1/1.5.20-1-0.1                                                         
libuser                         290         /conary.rpath.com@rpl:devel//1/0.53.8-6-0.1                                                         
libxml2                         293         /conary.rpath.com@rpl:devel//1/2.6.22-1.1-1                                                         
libxslt                         284         /conary.rpath.com@rpl:devel//1/1.1.15-1.2-1                                                         
lighttpd                        283         /conary.rpath.com@rpl:devel//1/1.4.15-0.1-1                                                         
logrotate                       78          /conary.rpath.com@rpl:devel//1/3.7.1-2-0.1                                                          
lvm2                            353         /conary.rpath.com@rpl:devel//1/2.01.14-2-0.1                                                        
m4                              285         /conary.rpath.com@rpl:devel//1/1.4.3-4-0.1                                                          
mailbase                        70          /conary.rpath.com@rpl:devel//1/1.0-6-0.1                                                            
mailcap                         91          /conary.rpath.com@rpl:devel//1/2.1.14-4-0.1                                                         
make                            295         /conary.rpath.com@rpl:devel//1/3.80-7-0.1                                                           
mdadm                           296         /conary.rpath.com@rpl:devel//1/1.11.0-2-0.1                                                         
mediawiki                       511         /contrib.rpath.org@rpl:devel//1/1.6.10-1.1-1                                                        
mediawiki-appliance             504         /vehera-base.rpath.org@rpl:devel/1.6.10-1-1                                                         
mingetty                        298         /conary.rpath.com@rpl:devel//1/1.07-5-0.1                                                           
mkinitrd                        180         /conary.rpath.com@rpl:devel//1/4.2.15-16.3-1                                                        
mktemp                          134         /conary.rpath.com@rpl:devel//1/1.5-18-0.1                                                           
module-init-tools               183         /conary.rpath.com@rpl:devel//1/3.1-5-0.1                                                            
mx                              377         /conary.rpath.com@rpl:devel//1/2.0.6-2.1-2                                                          
mysql                           100         /conary.rpath.com@rpl:devel//1/5.0.33-1-0.1                                                         
mysql-server                    100         /conary.rpath.com@rpl:devel//1/5.0.33-1-0.1                                                         
ncurses                         119         /conary.rpath.com@rpl:devel//1/5.4-3.3-1                                                            
net-tools                       300         /conary.rpath.com@rpl:devel//1/1.60-8-0.1                                                           
newt                            302         /conary.rpath.com@rpl:devel//1/0.51.6-4.1-1                                                         
nscd                            142         /conary.rpath.com@rpl:devel//1/2.3.6-8.7-1                                                          
ntp                             106         /conary.rpath.com@rpl:devel//1/4.2.0-11.3-1                                                         
openldap                        115         /conary.rpath.com@rpl:devel//1/2.2.26-8.6-1                                                         
openssh                         310         /conary.rpath.com@rpl:devel//1/4.5p1-0.1-1                                                          
openssh-client                  310         /conary.rpath.com@rpl:devel//1/4.5p1-0.1-1                                                          
openssh-server                  310         /conary.rpath.com@rpl:devel//1/4.5p1-0.1-1                                                          
openssl                         117         /conary.rpath.com@rpl:devel//1/0.9.7f-10.6-1                                                        
pam                             137         /conary.rpath.com@rpl:devel//1/0.79-5-0.1                                                           
pango                           318         /conary.rpath.com@rpl:devel//1/1.10.1-1-0.1                                                         
passwd                          341         /conary.rpath.com@rpl:devel//1/0.68-4-0.1                                                           
pcre                            147         /conary.rpath.com@rpl:devel//1/5.0-6-0.1                                                            
perl                            320         /conary.rpath.com@rpl:devel//1/5.8.7-8-0.2                                                          
perl-DBD-MySQL                  325         /conary.rpath.com@rpl:devel//1/2.9007-3.2-2                                                         
perl-DBD-Pg                     382         /conary.rpath.com@rpl:devel//1/1.42-4.1-2                                                           
perl-DBI                        316         /conary.rpath.com@rpl:devel//1/1.48-3.1-1                                                           
php                             111         /conary.rpath.com@rpl:devel//1/4.3.11-15.10-1                                                       
php-mysql                       111         /conary.rpath.com@rpl:devel//1/4.3.11-15.10-1                                                       
popt                            335         /conary.rpath.com@rpl:devel//1/1.8.1-10-0.1                                                         
postgresql                      380         /conary.rpath.com@rpl:devel//1/8.1.8-0.1-1                                                          
procmail                        343         /conary.rpath.com@rpl:devel//1/3.22-7-0.1                                                           
procps                          345         /conary.rpath.com@rpl:devel//1/3.2.7-0.1-2                                                          
psmisc                          347         /conary.rpath.com@rpl:devel//1/21.6-4-0.1                                                           
pycrypto                        385         /conary.rpath.com@rpl:devel//1/2.0.1-9-0.1                                                          
python                          357         /conary.rpath.com@rpl:devel//1/2.4.1-20.8-1                                                         
python-setuptools               387         /conary.rpath.com@rpl:devel//1/0.6a11-1-0.1                                                         
python-sqlite                   452         /conary.rpath.com@rpl:devel//1/2.0.5-3-0.1                                                          
raa                             105         /raa.rpath.org@rpath:raa-devel//raa-2/2.0.3-2-1                                                     
raa-backup-mw                   517         /mediawiki.rpath.org@rpl:1/1.0-3-1                                                                  
raa-backup-mysql                349         /raa.rpath.org@rpath:raa-devel//raa-2/1.0-1-2                                                       
raa-branding                    97          /raa.rpath.org@rpath:raa-devel//raa-2//mediawiki.rpath.org@rpl:1/2.0.3-1.0.2-1                      
raa-lighttpd                    105         /raa.rpath.org@rpath:raa-devel//raa-2/2.0.3-2-1                                                     
raa-plugin-rPath                11          /raa.rpath.org@rpath:raa-devel//raa-2/1.0.0-1-1                                                     
readline                        352         /conary.rpath.com@rpl:devel//1/5.0-2-0.1                                                            
rhpl                            94          /conary.rpath.com@rpl:devel//1/0.167-4.1-2                                                          
rootfiles                       13          /conary.rpath.com@rpl:devel//1/7.2-4-0.1                                                            
samba                           398         /conary.rpath.com@rpl:devel//1/3.0.24-0.1-1                                                         
scgi                            399         /conary.rpath.com@rpl:devel//1/1.10-9-0.1                                                           
sed                             167         /conary.rpath.com@rpl:devel//1/4.1.4-7-0.1                                                          
sendmail                        165         /conary.rpath.com@rpl:devel//1/8.13.7-0.1-1                                                         
setup                           401         /conary.rpath.com@rpl:devel//1/2.5.47-6.2-1                                                         
sgmlop                          408         /conary.rpath.com@rpl:devel//1/1.1.1-5.1-2                                                          
shadow                          422         /conary.rpath.com@rpl:devel//1/4.0.7-14-0.1                                                         
simplejson                      395         /conary.rpath.com@rpl:devel//1/1.3-2-0.1                                                            
slang                           152         /conary.rpath.com@rpl:devel//1/1.4.9-3-0.1                                                          
sqlite                          427         /conary.rpath.com@rpl:devel//1/3.2.2-8-0.1                                                          
sysfsutils                      464         /conary.rpath.com@rpl:devel//1/1.3.0-2-0.1                                                          
sysklogd                        466         /conary.rpath.com@rpl:devel//1/1.4.1-8-0.1                                                          
system-config-mouse             469         /conary.rpath.com@rpl:devel//1/1.2.11-3.1-1                                                         
system-config-securitylevel     473         /conary.rpath.com@rpl:devel//1/1.4.22-5.2-1                                                         
sysvinit                        476         /conary.rpath.com@rpl:devel//1/2.85-7-0.1                                                           
tar                             162         /conary.rpath.com@rpl:devel//1/1.15.1-7.1-1                                                         
tcp_wrappers                    520         /conary.rpath.com@rpl:devel//1/7.6-5-0.1                                                            
termcap                         15          /conary.rpath.com@rpl:devel//1/11.0.1-3-0.1                                                         
tk                              527         /conary.rpath.com@rpl:devel//1/8.4.10-5-0.1                                                         
tmpwatch                        532         /conary.rpath.com@rpl:devel//1/2.9.3-2-0.1                                                          
tzdata                          149         /conary.rpath.com@rpl:devel//1/2007c-3-0.2                                                          
udev                            125         /conary.rpath.com@rpl:devel//1/069-5-0.1                                                            
usermode                        534         /conary.rpath.com@rpl:devel//1/1.80-3-0.1                                                           
util-linux                      155         /conary.rpath.com@rpl:devel//1/2.12r-1-0.1                                                          
vim-minimal                     546         /conary.rpath.com@rpl:devel//1/6.3.90-2.5-1                                                         
vixie-cron                      549         /conary.rpath.com@rpl:devel//1/4.1-5.2-1                                                            
w3c-libwww                      554         /conary.rpath.com@rpl:devel//1/5.4.0-5-0.1                                                          
wireless-tools                  559         /conary.rpath.com@rpl:devel//1/27-4-0.1                                                             
xorg-x11                        562         /conary.rpath.com@rpl:devel//1/6.8.2-30.4-1                                                         
zlib                            185         /conary.rpath.com@rpl:devel//1/1.2.3-1-0.1                                                          
