name, area, typ, task, created_on, updated_on
Policy Profile: Add,MiqPolicySet,Action,new
Policy Profile: Delete,MiqPolicySet,Action,delete
Policy Profile: Edit,MiqPolicySet,Action,edit
Policy Profile: List,MiqPolicySet,Action,show_list
Policy Profile: Show,MiqPolicySet,Action,show
Report: *,Report,Action,*
Report: Add,Report,Action,new
Report: Copy,Report,Action,copy
Report: Delete,Report,Action,delete
Report: Edit,Report,Action,edit
Report: Report Menus,Report,Action,menueditor
Report: Edit,Report,Action,editreport
Report: Export,Report,Action,export
Repository: *,Repository,Action,*
Repository: Add,Repository,Action,new
Repository: Assign CoTags,Repository,Action,classifying
Repository: Assign Policy,Repository,Action,protect
Repository: Delete,Repository,Action,delete
Repository: Edit,Repository,Action,edit
Repository: List,Repository,Action,show_list
Repository: Refresh,Repository,Action,refresh
Repository: Show,Repository,Action,show
Request: *,Request,Action,*
Request: Approve,Request,Action,approve
Request: Deny,Request,Action,deny
Resource Pool: *,Resource Pool,Action,*
Resource Pool: Assign CoTags,Resource Pool,Action,classifying
Resource Pool: Assign Policy,Resource Pool,Action,protect
Resource Pool: Delete,Resource Pool,Action,delete
Resource Pool: List,Resource Pool,Action,show_list
Resource Pool: Show,Resource Pool,Action,show
Schedule: *,MiqSchedule,Action,*
Schedule: Add,MiqSchedule,Action,new
Schedule: Delete,MiqSchedule,Action,delete
Schedule: Edit,MiqSchedule,Action,edit
Schedule: List,MiqSchedule,Action,show_list
Schedule: Show,MiqSchedule,Action,show
Service: *,Service,Action,*
Service: Add,Service,Action,new
Service: Assign CoTags,Service,Action,classifying
Service: Assign Policy,Service,Action,protect
Service: Delete,Service,Action,delete
Service: Edit,Service,Action,edit
Service: List,Service,Action,show_list
Service: Show,Service,Action,show
Service: Start,Service,Action,svc_start
Service: Stop,Service,Action,svc_stop
Service: Suspend,Service,Action,svc_suspend
Services/*,Services,*,*
SmartProxy: *,MiqProxy,Action,*
SmartProxy: Add,MiqProxy,Action,new
SmartProxy: Assign Policy,SmartProxy,Action,protect
SmartProxy: Edit,MiqProxy,Action,edit
SmartProxy: Deploy SmartProxy Build,MiqProxy,Action,install_007
SmartProxy: List,MiqProxy,Action,show_list
SmartProxy: Show,MiqProxy,Action,show
SMIS Agent: *,SMIS Agent,Action,*
SMIS Agent: List,SMIS Agent,Action,show_list
SMIS Agent: Show,SMIS Agent,Action,show
Storage/*,Storage,*,*
Storage/Storage Systems/*,Storage,Storage Systems,*
Storage/File Shares/*,Storage,File Shares,*
Storage/Local File Systems/*,Storage,Local File Systems,*
Storage/Logical Disks/*,Storage,Logical Disks,*
Storage/Base Extents/*,Storage,Base Extents,*
Storage/Storage Volumes/*,Storage,Storage Volumes,*
Storage/SMI-S Agents/*,Storage,SMI-S Agents,*
Support: *,Support,Action,*
Support: Download Logs,Support,Action,fetch_server_logs
VDI VM: *,VmVdi,Action,*
VDI VM: Console,VmVdi,Action,console
VDI VM: Delete,VmVdi,Action,vm_delete
VDI VM: Edit,VmVdi,Action,edit
VDI VM: List,VmVdi,Action,show_list
VDI VM: Reset,VmVdi,Action,vm_reset
VDI VM: Restart Guest,VmVdi,Action,guest_restart
VDI VM: Show,VmVdi,Action,show
VDI VM: Shutdown Guest,VmVdi,Action,guest_shutdown
VDI VM: Start,VmVdi,Action,vm_start
VDI VM: Stop,VmVdi,Action,vm_stop
VDI VM: Suspend,VmVdi,Action,vm_suspend
Virtual Intelligence/*,Virtual Intelligence,*,*
Virtual Intelligence/Chargeback/*,Virtual Intelligence,Chargeback,*
Virtual Intelligence/Dashboard/*,Virtual Intelligence,Dashboard,*
Virtual Intelligence/Reports/*,Virtual Intelligence,Reports,*
Virtual Intelligence/RSS/*,Virtual Intelligence,RSS,*
